"X..Gene.Family"	"ARSH_W18_PN1A2_S29_L001_Abundance.RPKs"	"ARSH_W18_PN1V1_S30_L001_Abundance.RPKs"	"ARSH_W18_PN2A1_S31_L001_Abundance.RPKs"	"ARSH_W18_PN2V1_S32_L001_Abundance.RPKs"	"LVCH_W18_PN1A2_S13_L001_Abundance.RPKs"	"LVCH_W18_PN1V2_S14_L001_Abundance.RPKs"	"LVCH_W18_PN2A2_S15_L001_Abundance.RPKs"	"LVCH_W18_PN2V1_S16_L001_Abundance.RPKs"
"14"	"K00014: shikimate dehydrogenase [EC:1.1.1.25]"	0.000658891	0.000658309	0.000695343	0.000676353	0.00137673193635419	0.0012934102169238	0.00136790824262425	0.000879128749249503
"15"	"K00015: glyoxylate reductase [EC:1.1.1.26]"	0.000225485	0.000191573	0.000124981	0.000158067	0.00106064001168124	0.00100874038832262	0.000784035006072372	0.000866765499813482
"16"	"K00016: L-lactate dehydrogenase [EC:1.1.1.27]"	0.000135026	0.000172164	0.000132985	0.000126903	0.0011981547975447	0.00109372426499613	0.00109127129102126	0.00100290110777132
"17"	"K00018: glycerate dehydrogenase [EC:1.1.1.29]"	7.29928e-05	5.93412e-05	8.37603e-05	6.69725e-05	0.00146838517091237	0.000744422736112028	0.000989432018715888	0.000675994552439079
"18"	"K00019: 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]"	0.000316343	0.000342805	0.000408955	0.000422878	0.00140705432579853	0.000799769305624068	0.000853021180490032	0.000668012918205932
"19"	"K00020: 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]"	0.000624289	0.00065777	0.000576773	0.000671365	0.00107052705925889	0.000807649044319987	0.00123120663361624	0.000512749069835991
"20"	"K00021: hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]"	7.35051e-05	8.53519e-05	5.1254e-05	9.14731e-05	0.00132419765274972	0.000680256345774978	0.000696149114752188	0.00102035209676251
"21"	"K00022: 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]"	4.06778e-05	3.25061e-05	1.74153e-05	2.93745e-05	0.00123065301473252	0.000767483310773969	0.000797606023261324	0.00116299769212492
"22"	"K00023: acetoacetyl-CoA reductase [EC:1.1.1.36]"	0.000317096	0.000275606	0.000332706	0.000372798	0.000700071964180097	0.000620109628653154	0.00072803536709398	0.000850813144817948
"23"	"K00024: malate dehydrogenase [EC:1.1.1.37]"	0.000491336	0.000500036	0.000524924	0.000518155	0.000695238423533738	0.00125984496343881	0.000716436519986019	0.00138252007821575
"24"	"K00025: malate dehydrogenase [EC:1.1.1.37]"	3.37414e-05	3.67506e-05	3.74404e-05	3.81305e-05	0.000729781175265089	0.000942700517131016	0.000745952502824366	0.00100495355529711
"25"	"K00026: malate dehydrogenase [EC:1.1.1.37]"	8.68099e-07	0	0	2.46632e-06	0.000745995108038187	0.00106915198918432	0.00141536545334384	0.000612057053251192
"26"	"K00027: malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]"	0.000159861	0.000214478	0.000201096	0.000231664	0.000923467157408595	0.000809578915592283	0.00111017992906272	0.000902806798694655
"27"	"K00029: malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]"	0.000274114	0.000279716	0.000378505	0.000321104	0.00110681655374356	0.00108798926044255	0.000809202820528299	0.00148919545067474
"28"	"K00030: isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]"	0.000305264	0.000268414	0.000195756	0.000202053	0.000854497418738902	0.000962489080848172	0.000940621258690953	0.000593557219952345
"29"	"K00031: isocitrate dehydrogenase [EC:1.1.1.42]"	0.000538032	0.000554083	0.000597049	0.000567541	0.000683012370252982	0.000977241331944242	0.000967789073707536	0.000799249479081482
"30"	"K00032: phosphogluconate 2-dehydrogenase [EC:1.1.1.43]"	3.62816e-06	3.13859e-06	4.89839e-06	4.01495e-06	0.00146980148088187	0.000585613088449463	0.00101187813747674	0.00054699416202493
"31"	"K00033: 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]"	0.000546901	0.000545645	0.00048523	0.0004731	0.00142425814620219	0.000520114326616749	0.000608967156615108	0.000692913831444457
"32"	"K00034: glucose 1-dehydrogenase [EC:1.1.1.47]"	0.000165643	0.000200145	0.000170835	0.000148374	0.00113353277905844	0.000729067606618628	0.000947257087798789	0.000670264014974237
"33"	"K00035: D-galactose 1-dehydrogenase [EC:1.1.1.48]"	2.68871e-05	2.47455e-05	6.68592e-05	3.2852e-05	0.000669699551071972	0.000871407579164952	0.000581222962820902	0.000946676953462884
"34"	"K00036: glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]"	0.00110073	0.00113371	0.000994529	0.00112724	0.0012038945145905	0.000797166284406558	0.00115922830859199	0.00108120721206069
"35"	"K00037: 3alpha-hydroxysteroid 3-dehydrogenase / chlordecone reductase [EC:1.1.1.50 1.1.1.357 1.1.1.225]"	0	0	0	0	0.00128659300715663	0.00136333214165643	0.00107483693305403	0.000534541045781225
"36"	"K00038: 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]"	0.000139553	0.000139089	0.000117403	0.000160329	0.000648901978973299	0.00118931863596663	0.00143501849565655	0.00116896117851138
"37"	"K00039: ribitol 2-dehydrogenase [EC:1.1.1.56]"	6.62787e-06	6.68097e-06	1.59733e-05	1.03931e-05	0.00105066592618823	0.00107033021561801	0.000939219514606521	0.00125447045452893
"38"	"K00040: fructuronate reductase [EC:1.1.1.57]"	5.94903e-05	7.19061e-05	0.000165319	9.26402e-05	0.00123316758871078	0.00115809016814455	0.000554738172795624	0.00101796403480694
"39"	"K00041: tagaturonate reductase [EC:1.1.1.58]"	4.8447e-05	4.19061e-05	8.92892e-05	5.9431e-05	0.00055236132722348	0.00123897294700146	0.000515967521350831	0.00114253021823242
"40"	"K00042: 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]"	0.000245946	0.00022541	0.000240125	0.000244576	0.000657487146789208	0.00140291256620549	0.000584266346413642	0.00142084697051905
"41"	"K00043: 4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]"	3.66651e-06	2.58246e-06	6.71381e-06	4.69955e-06	0.00102691926504485	0.00103314863680862	0.00100870772451162	0.00129842723463662
"42"	"K00045: mannitol 2-dehydrogenase [EC:1.1.1.67]"	3.17171e-05	3.76779e-05	4.76978e-05	3.62519e-05	0.000881310960045084	0.00123676931904629	0.00147135412413627	0.00149875627225265
"43"	"K00046: gluconate 5-dehydrogenase"	0.000266936	0.000239983	0.000242984	0.000240138	0.00135296100517735	0.000648758563445881	0.000614055293845013	0.000718747263075784
"44"	"K00048: lactaldehyde reductase [EC:1.1.1.77]"	0	0	1.98394e-06	0	0.00148814836796373	0.000733264273963869	0.000752817459171638	0.00138199677807279
"45"	"K00049: glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]"	1.04627e-05	5.11062e-06	5.66236e-06	7.43334e-06	0.000816131688887253	0.000616222387412563	0.00135661016614176	0.0013708464067895
"46"	"K00050: hydroxypyruvate reductase [EC:1.1.1.81]"	0.000231561	0.000181851	0.000212376	0.000190145	0.00102122712531127	0.000659765619551763	0.00105323774414137	0.00102727009565569
"47"	"K00052: 3-isopropylmalate dehydrogenase [EC:1.1.1.85]"	0.00065497	0.000692158	0.000647156	0.00071989	0.000696194196818396	0.000830582993570715	0.00107889952068217	0.00093451243150048
"48"	"K00053: ketol-acid reductoisomerase [EC:1.1.1.86]"	0.000550098	0.000503497	0.000554349	0.000494741	0.00142069033859298	0.0010079899658449	0.000618060111766681	0.0013713738899678
"49"	"K00054: hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]"	2.34045e-05	3.70574e-05	4.23031e-05	2.21939e-05	0.00143310175440274	0.00103905068733729	0.00113643222255632	0.00131041722837836
"50"	"K00055: aryl-alcohol dehydrogenase [EC:1.1.1.90]"	7.38046e-05	9.13402e-05	7.80035e-05	0.000106732	0.000723675884772092	0.000701341370120645	0.000655895016388968	0.0013519124891609
"51"	"K00057: glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]"	0.000640172	0.000642782	0.000640061	0.000626653	0.000893219206482172	0.000927575752371922	0.000793954151915386	0.000991814378416166
"52"	"K00058: D-3-phosphoglycerate dehydrogenase [EC:1.1.1.95]"	0.00122868	0.00128389	0.00136006	0.00128612	0.000885360806714743	0.000615906264865771	0.00118794440408237	0.00092116899555549
"53"	"K00059: 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]"	0.00358379	0.00344297	0.00326984	0.00356244	0.00105599532136694	0.00117282040300779	0.00113638162566349	0.00135624682181515
"54"	"K00060: threonine 3-dehydrogenase [EC:1.1.1.103]"	0.000295714	0.000212403	0.000174216	0.000172811	0.00100446601537988	0.0010934443664737	0.00140471983817406	0.00145230151037686
"55"	"K00061: 11-cis-retinol dehydrogenase [EC:1.1.1.315]"	0	0	0	0	0.0013993004001677	0.000685753196245059	0.00120192023133859	0.00129733715648763
"56"	"K00064: D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]"	0.000127349	0.000130504	0.000132393	0.000143472	0.000633933916222304	0.00130900638387538	0.0013846934735775	0.000912254226626828
"57"	"K00065: 2-deoxy-D-gluconate 3-dehydrogenase [EC:1.1.1.125]"	0.000145194	0.000153526	0.000194674	0.000170704	0.00149933397443965	0.000751586522208527	0.000666457249317318	0.000645679301116615
"58"	"K00066: GDP-mannose 6-dehydrogenase [EC:1.1.1.132]"	0.000161976	0.000142133	8.1859e-05	8.7132e-05	0.00122503448463976	0.000601154039613903	0.00107525539561175	0.00122572732390836
"59"	"K00067: dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]"	0.000651245	0.000733606	0.000877803	0.000712609	0.00138469712645747	0.00118960144347511	0.0010853615317028	0.000593162158038467
"60"	"K00068: sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]"	5.2074e-06	6.8038e-06	2.75187e-06	3.44983e-06	0.000707114842021838	0.000528603937709704	0.000653237393824384	0.000951230746693909
"61"	"K00069: 15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]"	1.58223e-06	8.97719e-07	0	3.09013e-06	0.00142674863804132	0.000537717841099948	0.000530913313385099	0.00129030966991559
"62"	"K00073: ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]"	1.15249e-05	8.52438e-06	2.32958e-06	1.08622e-06	0.000704365590354428	0.000681510567199439	0.000758794422727078	0.000664084843825549
"63"	"K00074: 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]"	0.00089645	0.000918445	0.00082773	0.00085869	0.000855561330216005	0.00130064462940209	0.000905183023773134	0.000693930506007746
"64"	"K00075: UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]"	0.000610467	0.000664298	0.0006884	0.00060407	0.000510299601359293	0.00118432245776057	0.0014349056687206	0.000703957973048091
"65"	"K00076: 7-alpha-hydroxysteroid dehydrogenase"	2.22944e-05	2.28478e-05	2.50358e-05	2.90374e-05	0.00113311676075682	0.00147517545917071	0.00135124825732782	0.00125008716713637
"66"	"K00077: 2-dehydropantoate 2-reductase [EC:1.1.1.169]"	0.000692544	0.000678619	0.000612032	0.000701069	0.00108047702279873	0.00141515775048174	0.00134752961876802	0.00080346049903892
"67"	"K00078: dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]"	0	0	0	0	0.00112031648936681	0.000659637220436707	0.000731907619396225	0.00101055136066861
"68"	"K00079: carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197]"	0	2.06744e-06	4.89046e-07	0	0.00106520443712361	0.000647524495841935	0.000911302341148257	0.00149223145190626
"69"	"K00082: 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]"	3.37331e-05	4.35987e-05	3.73221e-05	6.04242e-05	0.00140509061422199	0.00111357048922218	0.000915694543626159	0.000870280237868428
"70"	"K00083: cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]"	1.37859e-05	1.35001e-05	1.88758e-05	1.19581e-05	0.0008771182957571	0.000778730467893183	0.000870768846012652	0.00060867088008672
"71"	"K00084: carbonyl reductase 3 [EC:1.1.1.184]"	0	0	0	0	0.00095787217724137	0.00148351217037998	0.00114966953801922	0.00149740878003649
"72"	"K00085: aldose-6-phosphate reductase (NADPH2)"	0	0	0	0	0.00094900101586245	0.000568292231531814	0.00125895974086598	0.000931748908245936
"73"	"K00086: 1,3-propanediol dehydrogenase [EC:1.1.1.202]"	0	0	0	1.19564e-06	0.00146102618495934	0.00143863103887998	0.000515354624949396	0.00149113123072311
"74"	"K00087: xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]"	2.45374e-05	1.93339e-05	6.75412e-06	1.23987e-05	0.001026257481426	0.000555313165299594	0.000697202180977911	0.000842856785282493
"75"	"K00088: IMP dehydrogenase [EC:1.1.1.205]"	0.000482251	0.000537076	0.000512526	0.000569955	0.000648158543510362	0.0013131764784921	0.000525843821465969	0.000776208393275738
"76"	"K00089: 3alpha-hydroxysteroid 3-dehydrogenase [EC:1.1.1.213 1.1.1.357]"	0	0	0	0	0.00101463040499948	0.00089313147123903	0.00115932747535408	0.00113423866964877
"77"	"K00090: gluconate 2-dehydrogenase [EC:1.1.1.215]"	2.28516e-05	2.11626e-05	3.12659e-05	2.74859e-05	0.00134589043655433	0.000782448954880238	0.000765779862413183	0.000623079608660191
"78"	"K00091: dihydroflavonol-4-reductase"	0.000239706	0.000242158	0.0001642	0.000197777	0.00073716052970849	0.00116260848985985	0.000750807429198176	0.00149907600088045
"79"	"K00092: chlordecone reductase"	0	0	0	0	0.000623092290945351	0.0011773885730654	0.00141330657177605	0.000653271071380004
"80"	"K00094: galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]"	0	0	0	4.46562e-06	0.000985146883642301	0.000986419441876933	0.00128036022908054	0.000661929497262463
"81"	"K00096: glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]"	3.25972e-05	5.04304e-05	3.66989e-05	4.67008e-05	0.00145667099696584	0.000701063318643719	0.00072256871429272	0.00129631916387007
"82"	"K00097: 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]"	0.000505479	0.000490476	0.000620348	0.000480149	0.000640121253440157	0.00139782706508413	0.000997550366446376	0.000601976265432313
"83"	"K00098: L-idonate 5-dehydrogenase"	2.94501e-05	3.35699e-05	5.37931e-05	4.09225e-05	0.00140745356702246	0.000684697698336095	0.000894384438404813	0.000637486248277128
"84"	"K00099: 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]"	0.000494199	0.000489038	0.000435224	0.000459776	0.00125459478190169	0.00115251445933245	0.00139786183973774	0.000834790692897514
"85"	"K00100: butanol dehydrogenase [EC:1.1.1.-]"	0.000157225	0.000149321	0.000182879	0.000199726	0.000937104324810207	0.000729962710291147	0.000643293639644981	0.00123609408317134
"86"	"K00101: L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]"	0.000321025	0.00036005	0.000370715	0.000409595	0.00100899447919801	0.00130855739535764	0.000578675945056602	0.000972514379071072
"87"	"K00102: D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]"	0.000153449	0.000164992	0.000186398	0.000176833	0.000645377124892548	0.000788580298889428	0.000720131946494803	0.000893358330009505
"88"	"K00103: L-gulonolactone oxidase [EC:1.1.3.8]"	2.04911e-05	2.14383e-05	1.81641e-05	2.58119e-05	0.000870120004983619	0.000997367908712477	0.00127610167791136	0.000719827833818272
"89"	"K00104: glycolate oxidase [EC:1.1.3.15]"	0.000648877	0.000634799	0.00056023	0.000605155	0.00076700199325569	0.000877238664776087	0.00122192402579822	0.000840180167928338
"90"	"K00105: alpha-glycerophosphate oxidase [EC:1.1.3.21]"	0	0	1.92909e-06	0	0.000576025401707739	0.000939782805508003	0.000673992452677339	0.00118741694814526
"91"	"K00106: xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]"	6.72852e-06	5.90502e-06	1.76916e-06	5.59544e-06	0.000736412960337475	0.000554935967782512	0.00137877069646493	0.001161144815851
"92"	"K00108: choline dehydrogenase [EC:1.1.99.1]"	0.000410213	0.0004175	0.000418392	0.000514685	0.00127927548345178	0.00143680998659693	0.000896665866021067	0.000644446944352239
"93"	"K00109: 2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]"	1.19293e-05	1.31321e-05	1.03473e-05	1.7834e-05	0.000612693393370137	0.000588241005782038	0.000518345346907154	0.00128083457075991
"94"	"K00111: glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]"	0.000499521	0.000508295	0.000569405	0.000552932	0.00096612856304273	0.00111864556651562	0.0011032877236139	0.000659759516827762
"95"	"K00112: glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]"	1.78754e-05	9.94608e-06	5.77074e-06	2.52375e-06	0.0012021882252302	0.000817415331490338	0.000738841261481866	0.00132606243202463
"96"	"K00113: glycerol-3-phosphate dehydrogenase subunit C [EC:1.1.5.3]"	4.87502e-05	5.12554e-05	2.11545e-05	3.09122e-05	0.00101442915876396	0.000645649129757658	0.00106118284957483	0.000908553594490513
"97"	"K00114: alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]"	0.000505482	0.000473933	0.000297237	0.000408652	0.000679118327563629	0.00064065659744665	0.00104495818517171	0.00133278535795398
"98"	"K00115: glucose dehydrogenase (acceptor) [EC:1.1.5.9]"	9.66352e-07	0	0	0	0.00130419957730919	0.000589662838727236	0.00108509289030917	0.000774899394717068
"99"	"K00116: malate dehydrogenase (quinone) [EC:1.1.5.4]"	4.45301e-05	4.68422e-05	8.24373e-05	5.30496e-05	0.000855577465379611	0.00105345995677635	0.000536980268778279	0.00142395088262856
"100"	"K00117: quinoprotein glucose dehydrogenase [EC:1.1.5.2]"	0.000788232	0.000714341	0.000594119	0.000605472	0.00108804725413211	0.000589116109535098	0.00125943882134743	0.00119608421134762
"101"	"K00118: glucose-fructose oxidoreductase"	2.35417e-05	2.03555e-05	3.13121e-05	2.27788e-05	0.000635049449047074	0.000875027794856578	0.000837974093854427	0.00147473161760718
"102"	"K00121: S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]"	0.000428018	0.00043673	0.000384046	0.000498274	0.00132604184839874	0.000694113863632083	0.00135043832287192	0.00115585951483808
"103"	"K00122: formate dehydrogenase [EC:1.2.1.2]"	0.000135996	0.000141458	0.000123321	0.00012982	0.000959345824318007	0.000741129091009498	0.000558822861174122	0.00129952213051729
"104"	"K00123: formate dehydrogenase major subunit [EC:1.2.1.2]"	0.00102778	0.000955824	0.000715073	0.000843246	0.000664513321360573	0.000714497975539416	0.000659843612927943	0.0011275388514623
"105"	"K00124: formate dehydrogenase iron-sulfur subunit"	0.000703816	0.000697389	0.000481643	0.000593306	0.000655400783289224	0.000772971388883889	0.000796809153165668	0.00145836831210181
"106"	"K00126: formate dehydrogenase subunit delta [EC:1.2.1.2]"	3.76656e-05	3.36584e-05	4.6238e-05	7.53818e-05	0.000556058950955048	0.00112109675328247	0.000870198326418176	0.00137113566533662
"107"	"K00127: formate dehydrogenase subunit gamma"	0.000242049	0.000185274	0.000216501	0.000283545	0.000567601684480906	0.000862702074693516	0.000700839029625058	0.001284236675594
"108"	"K00128: aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]"	0.000870037	0.000892168	0.000793634	0.000913138	0.00148429069574922	0.00138261133199558	0.000910854214103892	0.000542572438484058
"109"	"K00129: aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]"	1.5757e-05	1.59781e-05	1.48234e-05	1.79518e-05	0.000520871027139947	0.000986318690702319	0.00135982791613787	0.000786046269582585
"110"	"K00130: betaine-aldehyde dehydrogenase [EC:1.2.1.8]"	0.00018676	0.000210677	0.000184387	0.000239702	0.000962853027740493	0.000559238975867629	0.000788925973931328	0.00137885828618892
"111"	"K00131: glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]"	2.35705e-05	1.83455e-05	2.0832e-05	2.22271e-05	0.000877156308386475	0.00145292070601135	0.00116302754916251	0.000978883659699932
"112"	"K00132: acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]"	5.50036e-06	6.1823e-06	2.61772e-06	3.43264e-06	0.00145161735219881	0.00104680804279633	0.000979509840719402	0.00113696336490102
"113"	"K00133: aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]"	0.000641054	0.00057126	0.000575701	0.000564382	0.00136722030956298	0.000908834519563243	0.00101987726031803	0.000685470367083326
"114"	"K00134: glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]"	0.000506822	0.000516925	0.000521242	0.000532247	0.00134612562204711	0.000720175244612619	0.00122768045798875	0.0010300271846354
"115"	"K00135: succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]"	0.00062468	0.000663549	0.000689888	0.000694611	0.00112555374624208	0.000591251960257068	0.00104070652788505	0.000714271791046485
"116"	"K00137: aminobutyraldehyde dehydrogenase [EC:1.2.1.19]"	5.16935e-05	5.50967e-05	3.98599e-05	5.93032e-05	0.00141657631774433	0.000892809070181102	0.00147772418963723	0.00129177527502179
"117"	"K00138: aldehyde dehydrogenase [EC:1.2.1.-]"	3.66249e-05	4.30579e-05	6.56577e-05	6.12417e-05	0.00142493535461836	0.00088666177703999	0.00109061534306966	0.00133399307075888
"118"	"K00139: succinate-semialdehyde dehydrogenase [EC:1.2.1.24]"	2.76006e-06	6.03417e-06	3.57334e-06	5.73253e-06	0.000672901894431561	0.0007631853625644	0.000670603028964251	0.000537787336157635
"119"	"K00140: malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]"	0.000390537	0.000405104	0.000420105	0.000426262	0.000512590754311532	0.000968678028089926	0.00106051968433894	0.00120836344221607
"120"	"K00141: benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28]"	3.28458e-05	6.14803e-05	5.50262e-05	6.80273e-05	0.00122749406611547	0.00133732479903847	0.000865252133691683	0.000551922301994637
"121"	"K00143: L-aminoadipate-semialdehyde dehydrogenase [EC:1.2.1.31]"	0	0	0	0	0.00109006711049005	0.00147867555497214	0.000651406002929434	0.000938775061396882
"122"	"K00145: N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]"	0.000642804	0.00059164	0.000601871	0.000577958	0.000726782830897719	0.00100116299954243	0.000848163704155013	0.00138847725465894
"123"	"K00146: phenylacetaldehyde dehydrogenase [EC:1.2.1.39]"	2.55601e-05	2.57993e-05	1.97489e-05	2.76519e-05	0.00126057248609141	0.00103946142760105	0.000506560005946085	0.000897300919750705
"124"	"K00147: glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]"	0.000306736	0.000316629	0.000353114	0.00032133	0.00115435412363149	0.00121383945853449	0.00126166721154004	0.00074093871563673
"125"	"K00148: glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]"	7.54851e-05	8.93624e-05	9.69137e-05	0.000104528	0.00139083012519404	0.00137586736842059	0.000997022323543206	0.00127360732434317
"126"	"K00149: aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3]"	5.19302e-06	4.33573e-06	6.47523e-06	6.15762e-06	0.000766460863873363	0.00110915837343782	0.00131362867751159	0.00113192465924658
"127"	"K00150: glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]"	2.91164e-05	3.3418e-05	1.9043e-05	1.33692e-05	0.00127154656476341	0.0013238833071664	0.000574651919305325	0.00138353077555075
"128"	"K00151: 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]"	4.13962e-05	5.03355e-05	4.31001e-05	7.65465e-05	0.00111677305307239	0.00125502314930782	0.00056709241704084	0.00101214564149268
"129"	"K00152: salicylaldehyde dehydrogenase [EC:1.2.1.65]"	1.59122e-06	8.80324e-07	1.39312e-06	1.60942e-06	0.0014270901249256	0.000975024204934016	0.00112166845379397	0.000799286382738501
"130"	"K00153: NAD/factor-dependent formaldehyde dehydrogenase"	6.51224e-05	7.68043e-05	8.75451e-05	9.95851e-05	0.00127798506058753	0.000738490749383345	0.00146667951322161	0.00145280849887058
